_id,q
ObjectId(565f09b422ED3e7a46baf448),"When you have clouds that cover the sun, how is the weather?"
ObjectId(565f09b422ED3e7a46baf449),"When you do not have clouds and can see the sun, how is the weather?"
ObjectId(565f09b422ED3e7a46BAF44a),"When you have a lot of wind, how is the weather? "
ObjectId(565f09b422ED3e7a46BAF44B),"When temperature is low, how is the weather?"
ObjectId(565f09b422ED3e7a46BAF44c),"in English, how do you say Plate?"
ObjectId(565f09b422ED3e7a46BAF44d),"When you have clouds on the ground and cannot see trees, how is the weather?"
ObjectId(565f09b422ED3e7a46BAF44e)," in English, How do you say cup?"
ObjectId(565f09b422ED3e7a46BAF44f)," in English, How do you say spoon?"
ObjectId(565f09b422ED3e7a46baf450)," in English, How do you say fork?"
ObjectId(565f09b422ED3e7a46baf451)," in English, How do you say knife?"
ObjectId(565f09b422ED3e7a46baf452)," in English, How do you say glass?"
ObjectId(565f09b422ED3e7a46baf454)," in English, How do you say table?"
ObjectId(565f09b422ED3e7a46baf455)," in English, How do you say eggs?"
ObjectId(565f09b422ED3e7a46baf456)," in English, How do you say cheese?"
ObjectId(565f09b422ED3e7a46baf457)," in English, How do you say milk?"
ObjectId(565f09b422ED3e7a46baf458)," in English, How do you say cake?"
ObjectId(565f09b422ED3e7a46baf459)," in a family,the children call the woman, mother. In English, how do you say mother?"
ObjectId(565f09b422ED3e7a46BAF45a)," in a family,the children call the man, Father. In English, how do you day Father?"
ObjectId(565f09b422ED3e7a46BAF45B),"There are two families. Mothers are sisters.The children call the father of the other family Uncle. In English, how do you say Uncle?"
ObjectId(565f09b422ED3e7a46BAF45c),"There are two families. Mothers are sisters.The children call the Mother of the other family Aunt. Do In English, how do you say   Aunt?"
ObjectId(565f09b422ED3e7a46BAF45d),"in a family, there are two children: a boy and a girl. The boy is the brother of the girl. how do you say  brother in english?"
ObjectId(565f09b422ED3e7a46BAF45f),"in a family, there are two children: a boy and a girl. The girl is the sister of the boy. how do you say  sister in english?"
ObjectId(565f09b422ED3e7a46baf462),"family relations. how do you say  grandmother?"
ObjectId(565f09b422ED3e7a46baf463),"family relations. how do you say grandfather?"
