_id,q
ObjectId(565f09b422ED3e7a46baf448),"Cuando tiene nubes y no puede ver el sol, ¿cómo es el clima?"
ObjectId(565f09b422ED3e7a46baf449),"Cuando tiene pecado nuben sol, ¿cómo es el clima?"
ObjectId(565f09b422ED3e7a46BAF44a),"Cuando tiene mucho viento, ¿cómo es el clima? "
ObjectId(565f09b422ED3e7a46BAF44b),"Cuando temperatura es bajo, ¿cómo es el clima?"
ObjectId(565f09b422ED3e7a46BAF44c),"¿En Ingles, como se llama un Platón?"
ObjectId(565f09b422ED3e7a46BAF44d),"Cuando tiene niebla en la faz de la tierra, ¿cómo es el clima?"
ObjectId(565f09b422ED3e7a46BAF44e),"¿En Ingles, como se llama la copa?"
ObjectId(565f09b422ED3e7a46BAF44f),"¿En Ingles, como se llama cucharas?"
ObjectId(565f09b422ED3e7a46baf450),"¿En Ingles, como se llama tenedor?"
ObjectId(565f09b422ED3e7a46baf451),"¿En Ingles, como se llama el cuchillo?"
ObjectId(565f09b422ED3e7a46baf452),"¿En Ingles, como se llama vaso?"
ObjectId(565f09b422ED3e7a46baf454),"¿En Ingles, como se llama mesa?"
ObjectId(565f09b422ED3e7a46baf455),"¿En Ingles, como se llaman huevos?"
ObjectId(565f09b422ED3e7a46baf456),"¿En Ingles, como se llama el queso?"
ObjectId(565f09b422ED3e7a46baf457),"¿En Ingles, como se la llama leche?"
ObjectId(565f09b422ED3e7a46baf458),"¿En Ingles, como se llama el pastel o torta?"
ObjectId(565f09b422ED3e7a46baf459),"¿En una familia,los chicos llamen la mujer, madre. En inglés, como se dados madre?"
ObjectId(565f09b422ED3e7a46BAF45a),"¿En una familia,los chicos llamen el hombre, padre. En inglés, como se dados Padre?"
ObjectId(565f09b422ED3e7a46BAF45b),"Existen dos familias. Las madres son hermanas.Los chicos llamen el padre de la otra familia Tio. ¿En Ingles, como se dados Tio?"
ObjectId(565f09b422ED3e7a46BAF45c),"Existen dos familias. Las madres son hermanas.Los chicos llamen la madre de la otra familia Tia. ¿En Ingles, como se dados Tia?"
ObjectId(565f09b422ED3e7a46BAF45d),"En una familia, hay dos niños: un chico y una chica. El chico es el hermano de la chica. ¿Cómo se dados hermano en ingles?"
ObjectId(565f09b422ED3e7a46BAF45e),"¿En Ingles, como se llama tarta?"
ObjectId(565f09b422ED3e7a46BAF45f),"En una familia, hay dos niños: un chico y una chica. La chica es la hermana del muchacho. ¿Cómo se dados hermana en inglés?"
ObjectId(565f09b422ED3e7a46baf462),"Relaciones familiares. ¿En Ingles, como se dados Abuela?"
ObjectId(565f09b422ED3e7a46baf463),"Relaciones familiares. ¿En Ingles, como se dados Abuelo?"
ObjectId(565f09b422ED3e7a46baf460),"Existen dos familias. Las madres san hermanas.Los niños en las familias serian primos. ¿En Ingles, como se dados Primo?"
ObjectId(565f09b422ED3e7a46baf461),"Existen dos familias. Las madres son hermanas. Los niños son primos. ¿En Ingles, como se dados Prima?"
ObjectId(565f09b422ED3e7a46baf464),"Existen dos familias. Las madres son hermanas.Uno niño en una familia sería el sobrino de la madre en la otra familia. ¿En Ingles, como se dados Sobrino?"
ObjectId(565f09b422ED3e7a46baf465),"Existen dos familias. Las madres son hermanas.Una niña en una familia sería la sobrina de la madre en la otra familia. ¿En Ingles, como se dados sobrina?"
ObjectId(565f09b422ED3e7a46baf466)," ¿en Ingles, como se dados Nieto?"
ObjectId(565f09b422ED3e7a46baf467)," ¿en Ingles, como se dados Nieta?"
ObjectId(565f09b422ED3e7a46baf468),"¿Como se dados hacia arriba?"
ObjectId(565f09b422ED3e7a46baf469),"¿Como se dados hacia adelante?"
