_id,q
ObjectId(565f09b422ed3e7a46baf448),"Cuando tiene  nuben y no puede ver el sol, How is the weather?"
ObjectId(565f09b422ed3e7a46baf449),"Cuando tiene sol sin nuben, How is the weather?"
ObjectId(565f09b422ed3e7a46baf44a),"Cuando tiene mucho viento, How is the weather? "
ObjectId(565f09b422ed3e7a46baf44b),"Cuando temperatura es bajo, How is the weather?"
ObjectId(565f09b422ed3e7a46baf44c),"¿En Ingles, como se llama un plato?"
ObjectId(565f09b422ed3e7a46baf44d),"Cuando tiene niebla en la faz de la tierra,  How is the weather?"
ObjectId(565f09b422ed3e7a46baf44e),"¿En Ingles, como se llama copa?"
ObjectId(565f09b422ed3e7a46baf44f),"¿En Ingles, como se llama cuchara?"
ObjectId(565f09b422ed3e7a46baf450),"¿En Ingles, como se llama tenedor?"
ObjectId(565f09b422ed3e7a46baf451),"¿En Ingles, como se llama cuchillo?"
ObjectId(565f09b422ed3e7a46baf452),"¿En Ingles, como se llama vaso?"
ObjectId(565f09b422ed3e7a46baf454),"¿En Ingles, como se llama mesa?"
ObjectId(565f09b422ed3e7a46baf455),"¿En Ingles, como se llaman huevos?"
ObjectId(565f09b422ed3e7a46baf456),"¿En Ingles, como se llama queso?"
ObjectId(565f09b422ed3e7a46baf457),"¿En Ingles, como se llama leche?"
ObjectId(565f09b422ed3e7a46baf458),"¿En Ingles, como se llama pastel o torta?"
ObjectId(565f09b422ed3e7a46baf459),"¿En una familia,los chicos llamen la muher, madre. En Ingles, como se dice Madre?"
ObjectId(565f09b422ed3e7a46baf45a),"¿En una familia,los chicos llamen el hombre, padre. En Ingles, como se dice Padre?"
ObjectId(565f09b422ed3e7a46baf45b),"Existen dos familias. Las madres son hermanas.Los chicos llamen el padre de la otra familia Tio. ¿En Ingles, como se dice Tio?"
ObjectId(565f09b422ed3e7a46baf45c),"Existen dos familias. Las madres son hermanas.Los chicos llamen la madre de la otra familia Tia. ¿En Ingles, como se dice Tia?"
ObjectId(565f09b422ed3e7a46baf45d),"En una familia, hay dos niños, un niño y una niña. El muchacho es el hermano de la chica. ¿Cómo se dice hermano en ingles?"
ObjectId(565f09b422ed3e7a46baf45e),"¿En Ingles, como se llama tarta?"
ObjectId(565f09b422ed3e7a46baf45f),"En una familia, hay dos niños, un niño y una niña. La chica es la hermana del muchacho. ¿Cómo se dice hermana en inglés?"
ObjectId(565f09b422ed3e7a46baf462),"Relaciones Familiar. ¿En Ingles, como se dice Abuela?"
ObjectId(565f09b422ed3e7a46baf463),"Relaciones Familiar. ¿En Ingles, como se dice Abuelo?"
ObjectId(565f09b422ed3e7a46baf460),"Existen dos familias. Las madres san hermanas.Los ninos in the familias serian primos. ¿En Ingles, como se dice Primo?"
ObjectId(565f09b422ed3e7a46baf461),"Existen dos familias. Las madres son hermanas. Los niños son primos. ¿En Ingles, como se dice Prima?"
ObjectId(565f09b422ed3e7a46baf464),"Existen dos familias. Las madres son hermanas.Una niño en una familia sería la sobrin0 de la madre en la otra familia.  ¿En Ingles, como se dice Sobrino?"
ObjectId(565f09b422ed3e7a46baf465),"Existen dos familias. Las madres son hermanas.Una niña en una familia sería la sobrina de la madre en la otra familia. ¿En Ingles, como se dice Sobrina?"
ObjectId(565f09b422ed3e7a46baf466)," ¿En Ingles, como se dice Nieto?"
ObjectId(565f09b422ed3e7a46baf467)," ¿En Ingles, como se dice Nieta?"
ObjectId(565f09b422ed3e7a46baf468),¿Como se dice hacia arriba?
ObjectId(565f09b422ed3e7a46baf469),¿Como se dice hacia adelante?
ObjectId(565f09b422ed3e7a46baf46a),¿Como se dice hacia atraz?
ObjectId(565f09b422ed3e7a46baf46b),¿Como se dice hacia derecha?
ObjectId(565f09b422ed3e7a46baf46c),¿Como se dice hacia esquierda?
ObjectId(565f09b422ed3e7a46baf46d),¿Como se dice hacia abajo?
ObjectId(565f09b422ed3e7a46baf46e),¿Como se dice hacia el norte?
ObjectId(565f09b422ed3e7a46baf46f),¿Como se dice hacia el sur?
ObjectId(565f09b422ed3e7a46baf470),¿Como se dice hacia el este?
ObjectId(565f09b422ed3e7a46baf471),¿Como se dice hacia el oeste?
ObjectId(565f09b422ed3e7a46baf472),What is the opposite of: Hot ?
ObjectId(565f09b422ed3e7a46baf473),What is the opposite of: Dirty ?
ObjectId(565f09b422ed3e7a46baf474),What is the opposite of: Happy ?
ObjectId(565f09b422ed3e7a46baf475),What is the opposite of: Small ?
ObjectId(565f09b422ed3e7a46baf476),What is the opposite of: Asleep?
ObjectId(565f09b422ed3e7a46baf477),What is the opposite of: Fast ?
ObjectId(565f09b422ed3e7a46baf478),What is the opposite of: Right ?
ObjectId(565f09b422ed3e7a46baf479),What is the opposite of: Boy ?
ObjectId(565f09b422ed3e7a46baf47a),What is the opposite of: Here ?
ObjectId(565f09b422ed3e7a46baf47b),What is the opposite of: Shallow ?
ObjectId(565f09b422ed3e7a46baf47c),What is the opposite of: Sweet ?
ObjectId(565f09b422ed3e7a46baf47d),What is the opposite of: On ?
ObjectId(565f09b422ed3e7a46baf47e),What is the opposite of: Good ?
ObjectId(565f09b422ed3e7a46baf47f),What is the opposite of: Empty ?
ObjectId(565f09b422ed3e7a46baf480),What is the opposite of: Near ?
ObjectId(565f09b422ed3e7a46baf481),What is the opposite of: In ?
ObjectId(565f09b422ed3e7a46baf482),What is the opposite of: Open ?
ObjectId(565f09b422ed3e7a46baf483),What is the opposite of: Sick ?
ObjectId(565f09b422ed3e7a46baf484),¿Como se dice Vaca ?
ObjectId(565f09b422ed3e7a46baf485),¿Como se dice Caballo ?
ObjectId(565f09b422ed3e7a46baf486),¿Como se dice Cabra ?
ObjectId(565f09b422ed3e7a46baf487),¿Como se dice Oveja ?
ObjectId(565f09b422ed3e7a46baf488),¿Como se dice Toro ?
ObjectId(565f09b422ed3e7a46baf489),¿Como se dice Ternero ?
ObjectId(565f09b422ed3e7a46baf48a),¿Como se dice Chancho ?
ObjectId(565f09b422ed3e7a46baf48b),¿Como se dice Pollo o gallina ?
ObjectId(565f09b422ed3e7a46baf48c),¿Como se dice Brazo en ingles?
ObjectId(565f09b422ed3e7a46baf48d),¿Como se dice Cuerpo en ingles?
ObjectId(565f09b422ed3e7a46baf48e),¿Como se dice pierna en ingles?
ObjectId(565f09b422ed3e7a46baf48f),¿Como se dice dedo en ingles?
ObjectId(565f09b422ed3e7a46baf490),¿Como se dice dedo del pie en ingles?
ObjectId(565f09b422ed3e7a46baf491),¿Como se dice cabeca en ingles?
ObjectId(565f09b422ed3e7a46baf492),¿Como se dice hombro en ingles?
ObjectId(565f09b422ed3e7a46baf493),¿Como se dice espalda en ingles?
ObjectId(565f09b422ed3e7a46baf494),¿Como se dice ojo en ingles?
ObjectId(565f09b422ed3e7a46baf495),¿Como se dice oreja en ingles?
ObjectId(565f09b422ed3e7a46baf496),¿Como se dice nariz en ingles?
ObjectId(565f09b422ed3e7a46baf497),¿Como se dice boca en ingles?
ObjectId(565f09b422ed3e7a46baf498),Diga problema y solución en ingles: 1+3=? ?
ObjectId(565f09b422ed3e7a46baf499),Diga problema y solución en ingles: 7-3=? ?
ObjectId(565f09b422ed3e7a46baf49a),Diga problema y solución en ingles: 3+7=? ?
ObjectId(565f09b422ed3e7a46baf49b),Diga problema y solución en ingles: 2-1=? ?
ObjectId(565f09b422ed3e7a46baf49c),Diga problema y solución en ingles: 1+1=? ?
ObjectId(565f09b422ed3e7a46baf49d),Diga problema y solución en ingles: 4+5=? ?
ObjectId(565f09b422ed3e7a46baf49e),Diga problema y solución en ingles: 3+5=? ?
ObjectId(565f09b422ed3e7a46baf49f),"What tense?): The pencil is on the desk.(past, present,future"
ObjectId(565f09b422ed3e7a46baf4a0),"What tense? I ate my sandwich( past,  present,  future)"
ObjectId(565f09b422ed3e7a46baf4a1),"What tense?: We had a fun party! (past, present,future"
ObjectId(565f09b422ed3e7a46baf4a2),"What tense?: We will do it later!(past, present,future) "
ObjectId(565f09b422ed3e7a46baf4a3),"What tense? He is outside. (past, present,future): "
ObjectId(565f09b422ed3e7a46baf4a4),"Fill in Blank: Jim  ___ hungry.(am, is, are) "
ObjectId(565f09b422ed3e7a46baf4a5),"Fill in Blank(am, is, are): Bill and Patty  ___ lost."
ObjectId(565f09b422ed3e7a46baf4a6),"Fill in Blank(am, is, are): We  ___ at home."
ObjectId(565f09b422ed3e7a46baf4a7),"Fill in Blank(am running, is singing, are eating): Billy ___ ."
ObjectId(565f09b422ed3e7a46baf4a8),Fill in Blank: I ______(a. am not going b. is grateful c. are asking her)
ObjectId(565f09b422ed3e7a46baf4a9),Fill in Blank): What are ____ bringing?(a. he b. they c. Tim)
ObjectId(565f09b422ed3e7a46baf4aa),Fill in Blank: What is  ______ doing? (a. Jim b. her c. they)
ObjectId(565f09b422ed3e7a46baf4ab),Fill in Blank:  My dog lost _______________ collar.(a. its b. she c. him)
ObjectId(565f09b422ed3e7a46baf4ac),Fill in Blank: The horses belong to _____________ .(a. she b. he c. us) 
ObjectId(565f09b422ed3e7a46baf4ad),¿Como se dice _____ lunes_____ en Inglés?
ObjectId(565f09b422ed3e7a46baf4ae),¿Como se dice ___miércoles___ en Inglés?
ObjectId(565f09b422ed3e7a46baf4af),¿Como se dice _____martes___  en Inglés?
ObjectId(565f09b422ed3e7a46baf4b0),¿Como se dice _____jueves_____ en Inglés?
ObjectId(565f09b422ed3e7a46baf4b1),¿Como se dice _____viernes_____ en Inglés?
ObjectId(565f09b422ed3e7a46baf4b2),¿Como se dice _____Sabado_____ en Inglés?
ObjectId(565f09b422ed3e7a46baf4b3),¿Como se dice _____domingo_____ en Inglés?
ObjectId(565f09b422ed3e7a46baf4b4),¿Como se dice _____enero_____ en Inglés?
ObjectId(565f09b422ed3e7a46baf4b5),¿Como se dice _____julio_____ en Inglés?
ObjectId(565f09b422ed3e7a46baf4b6),¿Como se dice _____Agosto_____ en Inglés?
ObjectId(565f09b422ed3e7a46baf4b7),¿Como se dice _____Octubre_____ en Inglés?
ObjectId(565f09b422ed3e7a46baf4b8),¿Como se dice _____Noviembro___ en Inglés?
ObjectId(565f09b422ed3e7a46baf4b9),¿Como se dice _____Diciembre___ en Inglés?
ObjectId(565f09b422ed3e7a46baf4ba)," ¿Como se dice _____Abril___ en Inglés?"
ObjectId(565f09b422ed3e7a46baf4bb),¿Como se dice _____Maio______en Inglés?
ObjectId(565f09b422ed3e7a46baf4bc),¿Como se dice _____Junio___ en Inglés?
ObjectId(565f09b422ed3e7a46baf4bd),¿Como se dice _____Felic cupleanos ___ en Inglés?
ObjectId(565f09b422ed3e7a46baf4be),¿Como se dice _____Yo soy ___ en Inglés?
ObjectId(565f09b422ed3e7a46baf4bf),¿Como se dice _____tengo__ en Inglés?
ObjectId(565f09b422ed3e7a46baf4c0),¿Como se dice _____teléfono ___ en Inglés?
ObjectId(565f09b422ed3e7a46baf4c1),¿Como se dice _____boca ___ en Inglés?
ObjectId(565f09b422ed3e7a46baf4c2),¿El color de cafe es ________?
ObjectId(565f09b422ed3e7a46baf4c3),"¿En Inglés, negro es ________?"
ObjectId(565f09b422ed3e7a46baf4c4),"¿En Inglés, rojo es ________?"
ObjectId(565f09b422ed3e7a46baf4c5),¿El color de verde es ________?
ObjectId(565f09b422ed3e7a46baf4c6),¿El color de naranjada es ________?
ObjectId(565f09b422ed3e7a46baf4c7),¿El color de azul es ________?
