_id,q
ObjectId(565f09b422ED3e7a46baf448),"Quando você tiver nuvens e não pode ver o sol, que está o tempo?"
ObjectId(565f09b422ED3e7a46baf449),"quando você não tem nuvens e pode ver o sol, que está o tempo?"
ObjectId(565f09b422ED3e7a46BAF44a),"quando você tem um monte de vento, que está o tempo? "
ObjectId(565f09b422ED3e7a46BAF44B),"quando a temperatura é baixa, como é o clima?"
ObjectId(565f09b422ED3e7a46BAF44d),"Quando você tiver nuvens em o terra, e não pode ver o sol, como é que está o tempo?"
ObjectId(565f09b422ED3e7a46BAF44c)," em inglês, como você dizer Uma placa?"
ObjectId(565f09b422ED3e7a46BAF44e)," em inglês, como você dizer copa?"
ObjectId(565f09b422ED3e7a46BAF44f)," em inglês, como você dizer colher?"
ObjectId(565f09b422ED3e7a46baf450)," em inglês, como você dizer forquilha?"
ObjectId(565f09b422ED3e7a46baf451)," em inglês, como você dizer faca?"
ObjectId(565f09b422ED3e7a46baf452)," em inglês, como você dizer vidro para beber?"
ObjectId(565f09b422ED3e7a46baf454)," em inglês, como você dizer tabela?"
ObjectId(565f09b422ED3e7a46baf455)," em inglês, como você dizer ovos?"
ObjectId(565f09b422ED3e7a46baf456)," em inglês, como você dizer o queijo?"
ObjectId(565f09b422ED3e7a46baf457)," em inglês, como você dizer leite?"
ObjectId(565f09b422ED3e7a46baf458)," em inglês, como você dizer o bolo ?"
ObjectId(565f09b422ED3e7a46baf459)," em uma família,os filhos a chamada mulher mãe. Em inglês, como você dizer mãe?"
ObjectId(565f09b422ED3e7a46BAF45a)," em uma família,as crianças o homem, pai de chamada. Em inglês, como você dia Pai?"
ObjectId(565f09b422ED3e7a46BAF45B)," existem duas famílias. As mães são irmãs.As crianças chamada o pai da outra família Tio. Em inglês, como você dizer tio?"
ObjectId(565f09b422ED3e7a46BAF45c),"Existem duas famílias. As mães são irmãs.As crianças chamada a mãe da outra família Tia. Em inglês, como você dizer Tia?"
ObjectId(565f09b422ED3e7a46BAF45d),"em uma família, existem dois filhos: um menino e uma menina. O menino é o irmão da rapariga. Como você dizer irmão em inglês?"
ObjectId(565f09b422ED3e7a46BAF45e)," em inglês, como você dizer bolo?"
ObjectId(565f09b422ED3e7a46BAF45f),"em uma família, existem dois filhos: um menino e uma menina. A menina é a irmã do menino. Como você diz Irmã em inglês?"
ObjectId(565f09b422ED3e7a46baf462),"relações familiares. Como você dizer avó?"
ObjectId(565f09b422ED3e7a46baf463),"relações familiares. Como você dizer avô?"
ObjectId(565f09b422ED3e7a46baf460),"Existem duas famílias. As mães são irmãs.As crianças nas famílias seriam primos. Em inglês, como você dizer primo fêmea?"
ObjectId(565f09b422ED3e7a46baf461),"Existem duas famílias. As mães são irmãs. As crianças são primos. Como você dizer primo macho?"
ObjectId(565f09b422ED3e7a46baf464),"Existem duas famílias. As mães são irmãs.uma criança em uma família seria o sobrinho da mãe na outra família. Em inglês, como você dizer sobrinho?"
ObjectId(565f09b422ED3e7a46baf465),"Existem duas famílias. As mães são irmãs.uma menina em uma família seria a sobrinha da mãe na outra família. Em inglês, como você dizer sobrinha?"
ObjectId(565f09b422ED3e7a46baf466)," em inglês, como você dizer neto?"
ObjectId(565f09b422ED3e7a46baf467)," em inglês, como você dizer neta?"
ObjectId(565f09b422ED3e7a46baf468)," como você dizer go?"
ObjectId(565f09b422ED3e7a46baf469)," como você dizer avançar?"
ObjectId(565f09b422ED3e7a46BAF46a)," como você dizer voltar?"
ObjectId(565f09b422ED3e7a46BAF46B)," como você dizer vá para a direita?"
ObjectId(565f09b422ED3e7a46BAF46c)," como você dizer vá para a esquerda?"
ObjectId(565f09b422ED3e7a46BAF46d)," como você dizer ir para baixo?"
ObjectId(565f09b422ED3e7a46BAF46e)," como você dizer vá para o norte?"
ObjectId(565f09b422ED3e7a46BAF46f)," como você dizer vá para o sul?"
ObjectId(565f09b422ED3e7a46baf470)," como você dizer vá para o oriente?"
ObjectId(565f09b422ED3e7a46baf471)," como você dizer vá para o Ocidente?"
ObjectId(565f09b422ED3e7a46baf472),"Qual é o oposto de quente: ?"
ObjectId(565f09b422ED3e7a46baf473),"Qual é o oposto de: Sujo ?"
ObjectId(565f09b422ED3e7a46baf474),"Qual é o oposto de: Feliz ?"
ObjectId(565f09b422ED3e7a46baf475),"aquilo que é o oposto das pequenas?"
ObjectId(565f09b422ED3e7a46baf476),"Qual é o oposto de: dormindo?"
ObjectId(565f09b422ED3e7a46baf477),"Qual é o oposto de: Fast ?"
ObjectId(565f09b422ED3e7a46baf478),"aquilo que é o oposto do direito: ?"
ObjectId(565f09b422ED3e7a46baf479),"Qual é o oposto de: boy ?"
ObjectId(565f09b422ED3e7a46BAF47a),"Qual é o oposto de: aqui ?"
ObjectId(565f09b422ED3e7a46BAF47B),"Qual é o oposto de Águas Rasas: ?"
ObjectId(565f09b422ED3e7a46BAF47c),"Qual é o oposto de: Doces ?"
ObjectId(565f09b422ED3e7a46BAF47d),"Qual é o oposto:encido?"
ObjectId(565f09b422ED3e7a46BAF47e),"Qual é o oposto: Boa ?"
ObjectId(565f09b422ED3e7a46BAF47f),"Qual é o oposto de: Vazio ?"
ObjectId(565f09b422ED3e7a46baf480),"Qual é o oposto de: perto de ?"
ObjectId(565f09b422ED3e7a46baf481),"Qual é o oposto de: No"
ObjectId(565f09b422ED3e7a46baf482),"Qual é o oposto de: Abrir ?"
ObjectId(565f09b422ED3e7a46baf483),"Qual é o oposto de: Doentes ?"
ObjectId(565f09b422ED3e7a46baf484)," em inglês, como você dizer vaca ?"
ObjectId(565f09b422ED3e7a46baf485)," em inglês, como você dizer cavalo"
ObjectId(565f09b422ED3e7a46baf486)," em inglês, como você dizer Cabra ?"
ObjectId(565f09b422ED3e7a46baf487)," em inglês, como você dizer ovinos ?"
ObjectId(565f09b422ED3e7a46baf488)," em inglês, como você dizer Bull ?"
ObjectId(565f09b422ED3e7a46baf489)," em inglês, como você dizer vitelo?"
ObjectId(565f09b422ED3e7a46BAF48a)," em inglês, como você dizer porco ?"
ObjectId(565f09b422ED3e7a46BAF48B)," em inglês, como você dizer frango ?"
ObjectId(565f09b422ED3e7a46BAF48c)," em inglês, como você dizer braço?"
ObjectId(565f09b422ED3e7a46BAF48d)," em inglês, como você dizer corpo?"
ObjectId(565f09b422ED3e7a46BAF48e)," como você dizer perna em inglês?"
ObjectId(565f09b422ED3e7a46BAF48f)," como você dizer dedo?"
ObjectId(565f09b422ED3e7a46baf490)," como você dizer toe em inglês?"
ObjectId(565f09b422ED3e7a46baf491)," como se diz em inglês cabeça?"
ObjectId(565f09b422ED3e7a46baf492)," como se diz em inglês? Ombro"
ObjectId(565f09b422ED3e7a46baf493)," como você dizer de volta em inglês?"
ObjectId(565f09b422ED3e7a46baf494)," como você dizer olho em inglês?"
ObjectId(565f09b422ED3e7a46baf495)," como se diz na orelha inglês?"
ObjectId(565f09b422ED3e7a46baf496)," como você dizer nariz em inglês?"
ObjectId(565f09b422ED3e7a46baf497)," como você dizer boca em inglês?"
ObjectId(565f09b422ED3e7a46baf498),"dizer o problema e a solução da equação em inglês: 1+3=?"
ObjectId(565f09b422ED3e7a46baf499),"dizer o problema e a solução da equação em inglês: 7-3=?"
ObjectId(565f09b422ED3e7a46BAF49a),"dizer o problema e a solução da equação em inglês: 3+7=?"
ObjectId(565f09b422ED3e7a46BAF49B),"dizer o problema e a solução da equação em inglês: 2-1=?"
ObjectId(565f09b422ED3e7a46BAF49c),"dizer o problema e a solução da equação em inglês: 1+1=?"
ObjectId(565f09b422ED3e7a46BAF49d)," dizer o problema e a solução da equação em inglês: 4+5=?"
ObjectId(565f09b422ED3e7a46BAF49e)," dizer o problema e a solução da equação em inglês: 3+5=?"
ObjectId(565f09b422ED3e7a46BAF49f),"Que tensa?): o stylus esta na tabela.(Passado, Presente, Futuro)"
ObjectId(565f09b422ED3e7a46baf4a0),"Que tensa? Eu comi o meu sanduíche( passado, presente, ou futuro)"
ObjectId(565f09b422ED3e7a46baf4a1),"Que tensa?: tivemos uma festa de diversão! (Passado, Presente, Futuro)"
ObjectId(565f09b422ED3e7a46baf4a2),"Que tensa?: poderemos mais tarde! (Passado, Presente, Futuro) "
ObjectId(565f09b422ED3e7a46baf4a3),"Que tensa? Ele está fora. (Passado, Presente, Futuro): "
ObjectId(565f09b422ED3e7a46baf4a4),"preencher os espaços em branco: Jim _____ fome.(is, are) "
ObjectId(565f09b422ED3e7a46baf4a5),"Encha em branco(is, are, são): Bill e Patty _____ perdida."
ObjectId(565f09b422ED3e7a46baf4a6),"Encha em branco (AM, São): Nós ___ em casa."
ObjectId(565f09b422ED3e7a46baf4a7),"Encha em branco(am funcionando, cantar, eles estão a comer): Billy ___ ."
ObjectId(565f09b422ED3e7a46baf4a8),"preencha as lacunas: I _________(eu não sou um. b. c. Ele aprecia pedindo)"
ObjectId(565f09b422ED3e7a46baf4a9),"preencha o vazio): Quais são ______ tomar?(a ele. b. c. Tim)"
ObjectId(565f09b422ED3e7a46baf4aa)," preencha o vazio: o que é _________ fazendo? (a. Jim b.I c.him)"
ObjectId(565f09b422ED3e7a46baf4AB),"preencha as lacunas: Meu cão perdido _______________ colar.(a. Seu b. Ela c. ele)"
ObjectId(565f09b422ED3e7a46baf4ac),"preencher os espaços em branco: os cavalos pertencem a _____________ .(a. Ela b. Ele c. us)"
ObjectId(565f09b422ED3e7a46baf4ad)," como você dizer _____ Segunda-feira_____ em inglês?"
